,hs,申請系所,FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung
169,松山高中,"逢甲大學應用數學系
銘傳大學應用統計資訊學系(桃園校區)
銘傳大學資訊傳播工程學系(桃園校區)
實踐大學資訊科技與管理學系(臺北校區)",0,0,4,逢甲大學應用數學系,銘傳大學應用統計資訊學系(桃園校區),銘傳大學資訊傳播工程學系(桃園校區),實踐大學資訊科技與管理學系(臺北校區),0,0,0,0,0,0,0,臺北市,0,0.0,1,0.25,1,0.25,0,3
170,嘉義高中,"逢甲大學應用數學系
靜宜大學會計學系
國立臺東大學資訊工程學系
國立聯合大學能源工程學系",0,0,4,逢甲大學應用數學系,靜宜大學會計學系,國立臺東大學資訊工程學系,國立聯合大學能源工程學系,0,0,0,0,0,0,0,嘉義市,2,0.5,1,0.25,1,0.25,0,1
171,文華高中,"逢甲大學應用數學系
義守大學電機工程學系
國立勤益科技大學冷凍空調與能源系
修平科技大學電機工程系",1,1,4,逢甲大學應用數學系,義守大學電機工程學系,國立勤益科技大學冷凍空調與能源系,修平科技大學電機工程系,0,0,0,0,0,0,0,臺中市,1,0.25,1,0.25,1,0.25,1,0
172,新竹高中,"逢甲大學應用數學系
逢甲大學精密系統設計學士學位學程
中國文化大學光電物理學系
崑山科技大學機械工程系",1,0,4,逢甲大學應用數學系,逢甲大學精密系統設計學士學位學程,中國文化大學光電物理學系,崑山科技大學機械工程系,0,0,0,0,0,0,0,新竹市,0,0.0,2,0.5,1,0.25,0,1
173,新竹高中,"逢甲大學應用數學系
淡江大學數學學系數學組
中國文化大學應用數學系
亞洲大學創意商品設計學系
聖約翰科技大學時尚經營管理系
聖約翰科技大學創意設計系
中華科技大學建築系(台北校區)
中華科技大學建築系室內設計組(台北校區)",0,0,8,逢甲大學應用數學系,淡江大學數學學系數學組,中國文化大學應用數學系,亞洲大學創意商品設計學系,聖約翰科技大學時尚經營管理系,聖約翰科技大學創意設計系,中華科技大學建築系(台北校區),中華科技大學建築系室內設計組(台北校區),0,0,0,新竹市,0,0.0,1,0.125,4,0.5,0,1
174,中正高中,"逢甲大學應用數學系
逢甲大學統計學系
逢甲大學財務金融學系
國立屏東教育大學應用數學系
國立屏東科技大學車輛工程系
國立高雄海洋科技大學輪機工程系",0,0,6,逢甲大學應用數學系,逢甲大學統計學系,逢甲大學財務金融學系,國立屏東教育大學應用數學系,國立屏東科技大學車輛工程系,國立高雄海洋科技大學輪機工程系,0,0,0,0,0,臺北市,3,0.5,3,0.5,2,0.3333333333333333,0,3
176,私立建臺高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系",0,0,3,逢甲大學應用數學系,東吳大學數學系,中原大學應用數學系,0,0,0,0,0,0,0,0,苗栗縣,0,0.0,1,0.3333333333333333,3,1.0,0,1
177,私立弘文高中,"逢甲大學應用數學系
東海大學應用數學系",1,1,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,2,1.0,1,0
178,臺南一中,"逢甲大學應用數學系
東海大學應用數學系
南臺科技大學電機工程系控制與晶片組",0,0,3,逢甲大學應用數學系,東海大學應用數學系,南臺科技大學電機工程系控制與晶片組,0,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,2
179,文華高中,"逢甲大學應用數學系
逢甲大學財稅學系
逢甲大學企業管理學系
逢甲大學財務金融學系
嶺東科技大學國際企業系
嶺東科技大學財務金融系",1,0,6,逢甲大學應用數學系,逢甲大學財稅學系,逢甲大學企業管理學系,逢甲大學財務金融學系,嶺東科技大學國際企業系,嶺東科技大學財務金融系,0,0,0,0,0,臺中市,0,0.0,4,0.6666666666666666,1,0.16666666666666666,1,0
180,嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(巨量資料管理組)
靜宜大學資料科學暨大數據分析與應用學系-一般組
國立屏東大學應用數學系
義守大學電子工程學系",0,0,6,逢甲大學應用數學系,中原大學應用數學系,東海大學統計學系(巨量資料管理組),靜宜大學資料科學暨大數據分析與應用學系-一般組,國立屏東大學應用數學系,義守大學電子工程學系,0,0,0,0,0,嘉義市,1,0.16666666666666666,1,0.16666666666666666,3,0.5,0,1
181,文華高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,1.0,1,1.0,1,0
182,國立臺灣師範大學,"逢甲大學應用數學系
逢甲大學自動控制工程學系
逢甲大學資訊電機學院不分系榮譽班",1,1,3,逢甲大學應用數學系,逢甲大學自動控制工程學系,逢甲大學資訊電機學院不分系榮譽班,0,0,0,0,0,0,0,0,臺北市,0,0.0,3,1.0,1,0.3333333333333333,0,3
183,新營高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,臺南市,0,0.0,1,1.0,1,1.0,0,2
184,清水高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
靜宜大學食品營養學系食品與生物技術組",0,0,3,逢甲大學應用數學系,逢甲大學通訊工程學系,靜宜大學食品營養學系食品與生物技術組,0,0,0,0,0,0,0,0,新北市,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,3
186,竹北高中,"逢甲大學應用數學系
東海大學應用物理學系光電組
實踐大學資訊科技與通訊學系(高雄校區)",0,0,3,逢甲大學應用數學系,東海大學應用物理學系光電組,實踐大學資訊科技與通訊學系(高雄校區),0,0,0,0,0,0,0,0,新竹縣,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,1
187,中興高中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學土木工程學系
逢甲大學水利工程與資源保育學系
朝陽科技大學資訊與通訊系
嘉南藥理大學保健營養系
弘光科技大學環境與安全衛生工程系環境工程組
中臺科技大學環境與安全衛生工程系",1,0,8,逢甲大學應用數學系,逢甲大學工業工程與系統管理學系,逢甲大學土木工程學系,逢甲大學水利工程與資源保育學系,朝陽科技大學資訊與通訊系,嘉南藥理大學保健營養系,弘光科技大學環境與安全衛生工程系環境工程組,中臺科技大學環境與安全衛生工程系,0,0,0,南投縣,0,0.0,4,0.5,1,0.125,0,1
188,私立明德高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
靜宜大學統計資訊學系
亞洲大學生物與醫學資訊學系醫學資訊組",1,0,4,逢甲大學應用數學系,逢甲大學水利工程與資源保育學系,靜宜大學統計資訊學系,亞洲大學生物與醫學資訊學系醫學資訊組,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.5,1,0.25,1,0
189,私立弘文高中,"逢甲大學應用數學系
國立東華大學應用數學系統計科學組
國立屏東大學應用數學系
國立新竹教育大學不分系招生(理工勵進組)
國立臺東大學應用數學系
國立聯合大學光電工程學系
國立勤益科技大學資訊工程系
國立勤益科技大學冷凍空調與能源系
國立澎湖科技大學電信工程系",1,1,9,逢甲大學應用數學系,國立東華大學應用數學系統計科學組,國立屏東大學應用數學系,國立新竹教育大學不分系招生(理工勵進組),國立臺東大學應用數學系,國立聯合大學光電工程學系,國立勤益科技大學資訊工程系,國立勤益科技大學冷凍空調與能源系,國立澎湖科技大學電信工程系,0,0,臺中市,8,0.8888888888888888,1,0.1111111111111111,4,0.4444444444444444,1,0
190,高師大附中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)",1,1,3,逢甲大學應用數學系,東海大學統計學系(自然組),東海大學統計學系(社會組),0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,2
191,私立明德高中,"逢甲大學應用數學系
亞洲大學財務金融學系投資管理組",0,0,2,逢甲大學應用數學系,亞洲大學財務金融學系投資管理組,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,1,0.5,1,0
192,高雄女中,"逢甲大學應用數學系
東吳大學數學系",1,1,2,逢甲大學應用數學系,東吳大學數學系,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.5,2,1.0,0,2
193,桃園市育達高中,"逢甲大學應用數學系
中原大學土木工程學系
逢甲大學機械與電腦輔助工程學系
逢甲大學統計學系大數據分析與市場決策組",0,0,4,逢甲大學應用數學系,中原大學土木工程學系,逢甲大學機械與電腦輔助工程學系,逢甲大學統計學系大數據分析與市場決策組,0,0,0,0,0,0,0,桃園市,0,0.0,3,0.75,1,0.25,0,2
194,惠文高中,"逢甲大學應用數學系
靜宜大學資訊工程學系
靜宜大學資訊工程學系-類繁星",1,1,3,逢甲大學應用數學系,靜宜大學資訊工程學系,靜宜大學資訊工程學系-類繁星,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0
195,私立海星高中,"逢甲大學應用數學系
東吳大學數學系",0,0,2,逢甲大學應用數學系,東吳大學數學系,0,0,0,0,0,0,0,0,0,花蓮縣,0,0.0,1,0.5,2,1.0,0,3
196,天主教道明中學,"逢甲大學應用數學系
東海大學統計學系(巨量資料管理組)
淡江大學數學學系資料科學與數理統計組",0,0,3,逢甲大學應用數學系,東海大學統計學系(巨量資料管理組),淡江大學數學學系資料科學與數理統計組,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,2
197,中興高中,"逢甲大學應用數學系
逢甲大學自動控制工程學系",1,0,2,逢甲大學應用數學系,逢甲大學自動控制工程學系,0,0,0,0,0,0,0,0,0,南投縣,0,0.0,2,1.0,1,0.5,0,1
198,員林高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組",1,1,2,逢甲大學應用數學系,靜宜大學財務與計算數學系計算數學組,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.5,3,1.5,0,1
199,百齡高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系數學組
國立東華大學應用數學系統計科學組
國立臺東大學應用數學系",0,0,6,逢甲大學應用數學系,東吳大學數學系,中原大學應用數學系,淡江大學數學學系數學組,國立東華大學應用數學系統計科學組,國立臺東大學應用數學系,0,0,0,0,0,臺北市,2,0.3333333333333333,1,0.16666666666666666,7,1.1666666666666667,0,3
200,中興高中,"逢甲大學應用數學系
中國文化大學資訊工程學系",1,1,2,逢甲大學應用數學系,中國文化大學資訊工程學系,0,0,0,0,0,0,0,0,0,南投縣,0,0.0,1,0.5,1,0.5,0,1
201,虎尾高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學資訊管理學系
南華大學資訊工程學系自然組
真理大學資訊工程學系一般組(臺北校區)",1,1,5,逢甲大學應用數學系,中國文化大學應用數學系,靜宜大學資訊管理學系,南華大學資訊工程學系自然組,真理大學資訊工程學系一般組(臺北校區),0,0,0,0,0,0,雲林縣,0,0.0,1,0.2,2,0.4,0,1
202,建功高中,"逢甲大學應用數學系
東海大學統計學系(巨量資料管理組)",1,1,2,逢甲大學應用數學系,東海大學統計學系(巨量資料管理組),0,0,0,0,0,0,0,0,0,新竹市,0,0.0,1,0.5,1,0.5,0,1
203,臺中女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系商業大數據組
逢甲大學企業管理學系",0,0,4,逢甲大學應用數學系,東海大學應用數學系,逢甲大學統計學系商業大數據組,逢甲大學企業管理學系,0,0,0,0,0,0,0,臺中市,0,0.0,3,0.75,2,0.5,1,0
204,文華高中,"逢甲大學應用數學系
東海大學應用數學系",0,0,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,2,1.0,1,0
205,苗栗高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
銘傳大學應用統計與資料科學學系(桃園校區)",1,1,3,逢甲大學應用數學系,靜宜大學財務與計算數學系計算數學組,銘傳大學應用統計與資料科學學系(桃園校區),0,0,0,0,0,0,0,0,苗栗縣,0,0.0,1,0.3333333333333333,3,1.0,0,1
206,臺中二中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系",1,1,3,逢甲大學應用數學系,中原大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,3,1.0,1,0
207,新竹女中,"逢甲大學應用數學系
中華大學電子工程學系
義守大學機械與自動化工程學系
世新大學資訊管理學系資訊科技組
朝陽科技大學財務金融系
南台科技大學電機工程系控制與晶片組
龍華科技大學機械工程系
明新科技大學資訊工程系",1,1,8,逢甲大學應用數學系,中華大學電子工程學系,義守大學機械與自動化工程學系,世新大學資訊管理學系資訊科技組,朝陽科技大學財務金融系,南台科技大學電機工程系控制與晶片組,龍華科技大學機械工程系,明新科技大學資訊工程系,0,0,0,新竹市,0,0.0,1,0.125,1,0.125,0,1
208,臺中二中,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
逢甲大學光電學系
亞洲大學經營管理學系行銷管理組",1,1,5,逢甲大學應用數學系,東吳大學數學系,淡江大學數學學系數學組,逢甲大學光電學系,亞洲大學經營管理學系行銷管理組,0,0,0,0,0,0,臺中市,0,0.0,2,0.4,4,0.8,1,0
209,中興高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學企業管理學系(創業與組織領導組)
逢甲大學企業管理學系",1,1,4,逢甲大學應用數學系,東海大學應用數學系,東海大學企業管理學系(創業與組織領導組),逢甲大學企業管理學系,0,0,0,0,0,0,0,南投縣,0,0.0,2,0.5,2,0.5,0,1
210,板橋高中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,新北市,0,0.0,1,1.0,1,1.0,0,3
211,嘉義高中,"逢甲大學應用數學系
淡江大學物理學系應用物理組",1,1,2,逢甲大學應用數學系,淡江大學物理學系應用物理組,0,0,0,0,0,0,0,0,0,嘉義市,0,0.0,1,0.5,1,0.5,0,1
212,私立弘文高中,"逢甲大學應用數學系
靜宜大學應用化學系
亞洲大學經營管理學系行銷管理組",1,1,3,逢甲大學應用數學系,靜宜大學應用化學系,亞洲大學經營管理學系行銷管理組,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0
213,新竹女中,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,新竹市,0,0.0,1,1.0,1,1.0,0,1
214,斗六高中,"逢甲大學應用數學系
中原大學應用數學系
銘傳大學資訊管理學系(桃園校區)
實踐大學資訊科技與管理學系(臺北校區)
實踐大學資訊管理學系(高雄校區)",1,1,5,逢甲大學應用數學系,中原大學應用數學系,銘傳大學資訊管理學系(桃園校區),實踐大學資訊科技與管理學系(臺北校區),實踐大學資訊管理學系(高雄校區),0,0,0,0,0,0,雲林縣,0,0.0,1,0.2,2,0.4,0,1
215,中山高中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學工業工程與系統管理學系
逢甲大學統計學系
義守大學機械與自動化工程學系",1,0,5,逢甲大學應用數學系,逢甲大學機械與電腦輔助工程學系,逢甲大學工業工程與系統管理學系,逢甲大學統計學系,義守大學機械與自動化工程學系,0,0,0,0,0,0,高雄市,0,0.0,4,0.8,1,0.2,0,2
217,員林崇實高工,"逢甲大學應用數學系
中原大學應用數學系
國立屏東大學應用數學系",1,1,3,逢甲大學應用數學系,中原大學應用數學系,國立屏東大學應用數學系,0,0,0,0,0,0,0,0,彰化縣,1,0.3333333333333333,1,0.3333333333333333,3,1.0,0,1
218,新竹高中,"逢甲大學應用數學系
逢甲大學材料科學與工程學系
逢甲大學電子工程學系
國立金門大學電子工程學系",0,0,4,逢甲大學應用數學系,逢甲大學材料科學與工程學系,逢甲大學電子工程學系,國立金門大學電子工程學系,0,0,0,0,0,0,0,新竹市,1,0.25,3,0.75,1,0.25,0,1
219,屏東女中,"逢甲大學應用數學系
東海大學應用數學系",1,1,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,屏東縣,0,0.0,1,0.5,2,1.0,0,3
220,新店高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
亞洲大學財務金融學系金融科技組",0,0,4,逢甲大學應用數學系,中原大學應用數學系,淡江大學數學學系數學組,亞洲大學財務金融學系金融科技組,0,0,0,0,0,0,0,新北市,0,0.0,1,0.25,4,1.0,0,3
221,國立屏東大學,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學統計學系
逢甲大學通訊工程學系
義守大學通訊工程學系
義守大學醫務管理學系
弘光科技大學生物醫學工程系
中臺科技大學醫學影像暨放射科學系
中臺科技大學食品科技系
中華醫事科技大學職業安全衛生系
南開科技大學企業管理系",1,0,11,逢甲大學應用數學系,逢甲大學纖維與複合材料學系,逢甲大學統計學系,逢甲大學通訊工程學系,義守大學通訊工程學系,義守大學醫務管理學系,弘光科技大學生物醫學工程系,中臺科技大學醫學影像暨放射科學系,中臺科技大學食品科技系,中華醫事科技大學職業安全衛生系,南開科技大學企業管理系,屏東縣,0,0.0,4,0.36363636363636365,1,0.09090909090909091,0,3
222,陽明高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學光電學系
逢甲大學水利工程與資源保育學系
銘傳大學電腦與通訊工程學系(桃園校區)",1,0,5,逢甲大學應用數學系,逢甲大學環境工程與科學學系,逢甲大學光電學系,逢甲大學水利工程與資源保育學系,銘傳大學電腦與通訊工程學系(桃園校區),0,0,0,0,0,0,臺北市,0,0.0,4,0.8,1,0.2,0,3
224,景美女中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
中國文化大學資訊工程學系
亞洲大學資訊工程學系大數據與物聯網組
龍華科技大學資訊網路工程系
明新科技大學資訊工程系
中國科技大學資訊工程系(新竹校區)",0,0,7,逢甲大學應用數學系,東海大學統計學系(大數據與決策管理組),中國文化大學資訊工程學系,亞洲大學資訊工程學系大數據與物聯網組,龍華科技大學資訊網路工程系,明新科技大學資訊工程系,中國科技大學資訊工程系(新竹校區),0,0,0,0,臺北市,0,0.0,1,0.14285714285714285,1,0.14285714285714285,0,3
225,縣立成功高中,"逢甲大學應用數學系
東海大學應用數學系",1,1,2,逢甲大學應用數學系,東海大學應用數學系,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.5,2,1.0,0,1
226,國立屏東大學,"逢甲大學應用數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
銘傳大學應用統計與資料科學學系(桃園校區)",1,1,5,逢甲大學應用數學系,淡江大學數學學系數學組,靜宜大學財務與計算數學系計算數學組,靜宜大學財務與計算數學系財務工程組,銘傳大學應用統計與資料科學學系(桃園校區),0,0,0,0,0,0,屏東縣,0,0.0,1,0.2,6,1.2,0,3
227,臺南二中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
國立屏東大學資訊科學系
國立臺東大學應用數學系
義守大學資訊工程學系
義守大學數位多媒體設計學系互動媒體設計組
南臺科技大學電機工程系控制與晶片組",1,0,7,逢甲大學應用數學系,逢甲大學環境工程與科學學系,國立屏東大學資訊科學系,國立臺東大學應用數學系,義守大學資訊工程學系,義守大學數位多媒體設計學系互動媒體設計組,南臺科技大學電機工程系控制與晶片組,0,0,0,0,臺南市,2,0.2857142857142857,2,0.2857142857142857,2,0.2857142857142857,0,2
228,中正高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學自動控制工程學系
靜宜大學資訊工程學系-類繁星組
義守大學國際觀光餐旅學系(國際學院)",0,0,5,逢甲大學應用數學系,東海大學應用數學系,逢甲大學自動控制工程學系,靜宜大學資訊工程學系-類繁星組,義守大學國際觀光餐旅學系(國際學院),0,0,0,0,0,0,臺北市,0,0.0,2,0.4,2,0.4,0,3
230,錦和高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
淡江大學統計學系
中國文化大學財務金融學系財務金融組
銘傳大學風險管理與保險學系(台北校區)
崑山科技大學機械工程系
南臺科技大學多媒體與電腦娛樂科學系",1,1,7,逢甲大學應用數學系,東海大學統計學系(社會組),淡江大學統計學系,中國文化大學財務金融學系財務金融組,銘傳大學風險管理與保險學系(台北校區),崑山科技大學機械工程系,南臺科技大學多媒體與電腦娛樂科學系,0,0,0,0,新北市,0,0.0,1,0.14285714285714285,1,0.14285714285714285,0,3
231,國立高雄師範大學,"逢甲大學應用數學系
東海大學應用物理學系
國立屏東大學電腦與智慧型機器人學士學位學程",0,0,3,逢甲大學應用數學系,東海大學應用物理學系,國立屏東大學電腦與智慧型機器人學士學位學程,0,0,0,0,0,0,0,0,高雄市,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,2
232,靜宜大學,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學統計學系
逢甲大學光電學系
靜宜大學財務與計算數學系計算數學組
國立聯合大學化學工程學系
朝陽科技大學資訊管理系資訊管理組
弘光科技大學資訊管理系
弘光科技大學生物醫學工程系
中臺科技大學醫療暨健康產業管理系
中臺科技大學護理系",1,0,11,逢甲大學應用數學系,東海大學統計學系(自然組),逢甲大學統計學系,逢甲大學光電學系,靜宜大學財務與計算數學系計算數學組,國立聯合大學化學工程學系,朝陽科技大學資訊管理系資訊管理組,弘光科技大學資訊管理系,弘光科技大學生物醫學工程系,中臺科技大學醫療暨健康產業管理系,中臺科技大學護理系,臺中市,1,0.09090909090909091,3,0.2727272727272727,3,0.2727272727272727,1,0
233,國立中興大學,"逢甲大學應用數學系
亞洲大學視光學系
亞洲大學資訊工程學系數位內容組",0,0,3,逢甲大學應用數學系,亞洲大學視光學系,亞洲大學資訊工程學系數位內容組,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0
234,臺南一中,"逢甲大學應用數學系
義守大學化學工程學系
義守大學材料科學與工程學系
南臺科技大學化學工程與材料工程系",1,1,4,逢甲大學應用數學系,義守大學化學工程學系,義守大學材料科學與工程學系,南臺科技大學化學工程與材料工程系,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.25,1,0.25,0,2
235,新北高工,逢甲大學應用數學系,1,1,1,逢甲大學應用數學系,0,0,0,0,0,0,0,0,0,0,新北市,0,0.0,1,1.0,1,1.0,0,3
236,靜宜大學,"逢甲大學應用數學系
東海大學應用數學系
國立聯合大學資訊管理學系
國立臺中科技大學應用統計系
國立勤益科技大學資訊工程系
國立虎尾科技大學資訊管理系",1,1,6,逢甲大學應用數學系,東海大學應用數學系,國立聯合大學資訊管理學系,國立臺中科技大學應用統計系,國立勤益科技大學資訊工程系,國立虎尾科技大學資訊管理系,0,0,0,0,0,臺中市,4,0.6666666666666666,1,0.16666666666666666,2,0.3333333333333333,1,0
237,松山高中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
淡江大學統計學系
淡江大學數學學系資料科學與數理統計組
逢甲大學統計學系
國立東華大學應用數學系統計科學組",0,0,6,逢甲大學應用數學系,東海大學統計學系(大數據與資料科學組),淡江大學統計學系,淡江大學數學學系資料科學與數理統計組,逢甲大學統計學系,國立東華大學應用數學系統計科學組,0,0,0,0,0,臺北市,1,0.16666666666666666,2,0.3333333333333333,3,0.5,0,3
238,臺東女中,"逢甲大學應用數學系
淡江大學資訊與圖書館學系",1,1,2,逢甲大學應用數學系,淡江大學資訊與圖書館學系,0,0,0,0,0,0,0,0,0,臺東縣,0,0.0,1,0.5,1,0.5,0,3
239,臺南二中,"逢甲大學應用數學系
中國文化大學機械工程學系",1,1,2,逢甲大學應用數學系,中國文化大學機械工程學系,0,0,0,0,0,0,0,0,0,臺南市,0,0.0,1,0.5,1,0.5,0,2
240,天主教道明中學,"逢甲大學應用數學系
淡江大學數學學系數學組
國立臺東大學應用數學系
國立高雄海洋科技大學漁業生產與管理系
朝陽科技大學工業工程與管理系",1,1,5,逢甲大學應用數學系,淡江大學數學學系數學組,國立臺東大學應用數學系,國立高雄海洋科技大學漁業生產與管理系,朝陽科技大學工業工程與管理系,0,0,0,0,0,0,高雄市,2,0.4,1,0.2,4,0.8,0,2
241,天主教道明中學,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務工程學系-類繁星
國立臺東大學應用數學系",1,1,4,逢甲大學應用數學系,中原大學應用數學系,靜宜大學財務工程學系-類繁星,國立臺東大學應用數學系,0,0,0,0,0,0,0,高雄市,1,0.25,1,0.25,3,0.75,0,2
242,國立中興大學,"逢甲大學應用數學系
東海大學應用數學系
東海大學電機工程學系奈米電子與能源技術組",1,1,3,逢甲大學應用數學系,東海大學應用數學系,東海大學電機工程學系奈米電子與能源技術組,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,1,0
243,國立中興大學,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系商業大數據組",1,1,3,逢甲大學應用數學系,東海大學應用數學系,逢甲大學統計學系商業大數據組,0,0,0,0,0,0,0,0,臺中市,0,0.0,2,0.6666666666666666,2,0.6666666666666666,1,0
244,苗栗高中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
逢甲大學風險管理與保險學系",1,1,3,逢甲大學應用數學系,東海大學工業工程與經營資訊學系,逢甲大學風險管理與保險學系,0,0,0,0,0,0,0,0,苗栗縣,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,1
245,逢甲大學,"逢甲大學應用數學系
東海大學應用物理學系光電組
靜宜大學會計學系",0,0,3,逢甲大學應用數學系,東海大學應用物理學系光電組,靜宜大學會計學系,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0
246,國立屏東大學,"逢甲大學應用數學系
東海大學中國文學系
逢甲大學環境工程與科學學系
逢甲大學通訊工程學系",1,0,4,逢甲大學應用數學系,東海大學中國文學系,逢甲大學環境工程與科學學系,逢甲大學通訊工程學系,0,0,0,0,0,0,0,屏東縣,0,0.0,3,0.75,1,0.25,0,3
247,高雄中學,"逢甲大學應用數學系
東吳大學數學系",0,0,2,逢甲大學應用數學系,東吳大學數學系,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.5,2,1.0,0,2
248,中山高中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東大學應用數學系",1,1,3,逢甲大學應用數學系,東海大學應用數學系,國立屏東大學應用數學系,0,0,0,0,0,0,0,0,高雄市,1,0.3333333333333333,1,0.3333333333333333,3,1.0,0,2
250,陽明高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學財務工程學系-一般組",1,1,3,逢甲大學應用數學系,中國文化大學應用數學系,靜宜大學財務工程學系-一般組,0,0,0,0,0,0,0,0,臺北市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,3
252,國立臺灣師範大學,"逢甲大學應用數學系
逢甲大學統計學系",1,1,2,逢甲大學應用數學系,逢甲大學統計學系,0,0,0,0,0,0,0,0,0,臺北市,0,0.0,2,1.0,1,0.5,0,3
253,百齡高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學法律學系
銘傳大學會計學系(台北校區)",0,0,4,逢甲大學應用數學系,中國文化大學應用數學系,靜宜大學法律學系,銘傳大學會計學系(台北校區),0,0,0,0,0,0,0,臺北市,0,0.0,1,0.25,2,0.5,0,3
254,虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
明道大學精緻農業學系",0,0,3,逢甲大學應用數學系,中原大學應用數學系,明道大學精緻農業學系,0,0,0,0,0,0,0,0,雲林縣,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,1
