考區,申請系所,FCU,FCU_AM
國立屏東教育大學,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學統計學系
逢甲大學通訊工程學系
義守大學通訊工程學系
義守大學醫務管理學系
弘光科技大學生物醫學工程系
中臺科技大學醫學影像暨放射科學系
中臺科技大學食品科技系
中華醫事科技大學職業安全衛生系
南開科技大學企業管理系",1,0
國立陽明高中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
逢甲大學光電學系
逢甲大學水利工程與資源保育學系
銘傳大學電腦與通訊工程學系(桃園校區)",1,0
臺北市立景美女中,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
中國文化大學資訊工程學系
亞洲大學資訊工程學系大數據與物聯網組
龍華科技大學資訊網路工程系
明新科技大學資訊工程系
中國科技大學資訊工程系(新竹校區)",0,0
臺北市立成功高中,"逢甲大學應用數學系
東海大學應用數學系",1,1
國立屏東大學民生校區,"逢甲大學應用數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系計算數學組
靜宜大學財務與計算數學系財務工程組
銘傳大學應用統計與資料科學學系(桃園校區)",1,1
國立臺南二中,"逢甲大學應用數學系
逢甲大學環境工程與科學學系
國立屏東大學資訊科學系
國立臺東大學應用數學系
義守大學資訊工程學系
義守大學數位多媒體設計學系互動媒體設計組
南臺科技大學電機工程系控制與晶片組",1,0
高雄市立中正高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學自動控制工程學系
靜宜大學資訊工程學系-類繁星組
義守大學國際觀光餐旅學系(國際學院)",0,0
新北市立錦和高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
淡江大學統計學系
中國文化大學財務金融學系財務金融組
銘傳大學風險管理與保險學系(台北校區)
崑山科技大學機械工程系
南臺科技大學多媒體與電腦娛樂科學系",1,1
國立高雄師範大學,"逢甲大學應用數學系
東海大學應用物理學系
國立屏東大學電腦與智慧型機器人學士學位學程",0,0
靜宜大學,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學統計學系
逢甲大學光電學系
靜宜大學財務與計算數學系計算數學組
國立聯合大學化學工程學系
朝陽科技大學資訊管理系資訊管理組
弘光科技大學資訊管理系
弘光科技大學生物醫學工程系
中臺科技大學醫療暨健康產業管理系
中臺科技大學護理系",1,0
國立中興大學附中,"逢甲大學應用數學系
亞洲大學視光學系
亞洲大學資訊工程學系數位內容組",0,0
國立臺南一中,"逢甲大學應用數學系
義守大學化學工程學系
義守大學材料科學與工程學系
南臺科技大學化學工程與材料工程系",1,1
新北市立新北高工,逢甲大學應用數學系,1,1
靜宜大學,"逢甲大學應用數學系
東海大學應用數學系
國立聯合大學資訊管理學系
國立臺中科技大學應用統計系
國立勤益科技大學資訊工程系
國立虎尾科技大學資訊管理系",1,1
臺北市立松山高中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
淡江大學統計學系
淡江大學數學學系資料科學與數理統計組
逢甲大學統計學系
國立東華大學應用數學系統計科學組",0,0
國立臺東女中,"逢甲大學應用數學系
淡江大學資訊與圖書館學系",1,1
國立臺南二中,"逢甲大學應用數學系
中國文化大學機械工程學系",1,1
私立道明高中,"逢甲大學應用數學系
淡江大學數學學系數學組
國立臺東大學應用數學系
國立高雄海洋科技大學漁業生產與管理系
朝陽科技大學工業工程與管理系",1,1
私立道明高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務工程學系-類繁星
國立臺東大學應用數學系",1,1
國立中興大學附屬高中,"逢甲大學應用數學系
東海大學應用數學系
東海大學電機工程學系奈米電子與能源技術組",1,1
國立中興大學附中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系商業大數據組",1,1
國立苗栗高中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
逢甲大學風險管理與保險學系",1,1
逢甲大學,"逢甲大學應用數學系
東海大學應用物理學系光電組
靜宜大學會計學系",0,0
國立屏東大學,"逢甲大學應用數學系
東海大學中國文學系
逢甲大學環境工程與科學學系
逢甲大學通訊工程學系",1,0
高雄市立高雄高中,"逢甲大學應用數學系
東吳大學數學系",0,0
高雄市立中山高中,"逢甲大學應用數學系
東海大學應用數學系
國立屏東大學應用數學系",1,1
桃園市立陽明高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學財務工程學系-一般組",1,1
國立台灣師範大學,"逢甲大學應用數學系
逢甲大學統計學系",1,1
臺北市立百齡高中,"逢甲大學應用數學系
中國文化大學應用數學系
靜宜大學法律學系
銘傳大學會計學系(台北校區)",0,0
新北市立新北高工,逢甲大學應用數學系,1,1
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
明道大學精緻農業學系",0,0
臺中市立臺中二中,"逢甲大學應用數學系
靜宜大學應用化學系-類繁星
靜宜大學食品營養學系食品與生物技術組
靜宜大學食品營養學系食品與生物技術組-類繁星",0,0
私立明德高中,"逢甲大學應用數學系
靜宜大學財務與計算數學系財務工程組
靜宜大學統計資訊學系
國立臺東大學數學系",1,1
私立育達高中,"逢甲大學應用數學系
中原大學應用數學系",0,0
國立員林高中,"逢甲大學應用數學系
靜宜大學企業管理學系
靜宜大學會計學系",1,1
國立新竹女中,"逢甲大學應用數學系
東海大學應用數學系
國立東華大學應用數學系統計科學組
國立臺東大學應用數學系
國立嘉義大學應用數學系",0,0
國立臺南女中,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)",0,0
國立中興高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學水利工程與資源保育學系
靜宜大學企業管理學系
國立金門大學企業管理學系",1,0
國立斗六高中,"逢甲大學應用數學系
長榮大學護理學系
慈濟大學護理學系
輔英科技大學護理系
弘光科技大學護理系",0,0
新北市立板橋高中,"逢甲大學應用數學系
中國文化大學資訊工程學系
輔仁大學數學系資訊數學組",1,1
高雄市立高雄高中,"逢甲大學應用數學系
東海大學統計學系(社會組)
逢甲大學通訊工程學系
義守大學資訊工程學系
朝陽科技大學資訊管理系資訊管理組
嶺東科技大學國際企業系
嶺東科技大學財務金融系",1,1
國立宜蘭大學,"逢甲大學應用數學系
東海大學應用數學系",0,0
國立臺東高中,"逢甲大學應用數學系
中國文化大學建築及都市設計學系
靜宜大學財務與計算數學系財務工程組
銘傳大學數位媒體設計學系(桃園校區)
實踐大學時尚設計學系(高雄校區)
正修科技大學數位多媒體設計系",0,0
高雄市立高雄女中,"逢甲大學應用數學系
東海大學統計學系(社會組)",1,1
國立新竹高中,"逢甲大學應用數學系
逢甲大學統計學系",1,0
國立屏東大學民生校區,"逢甲大學應用數學系
逢甲大學風險管理與保險學系
靜宜大學財務與計算數學系計算數學組
朝陽科技大學建築系室內設計組",1,1
國立臺東高中,"逢甲大學應用數學系
中原大學應用數學系
銘傳大學資訊工程學系(桃園校區)
實踐大學資訊科技與管理學系(臺北校區)",0,0
臺中市立臺中一中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
靜宜大學財務與計算數學系財務工程組
國立屏東大學應用物理系光電暨材料組",1,0
高雄市立左營高中,逢甲大學應用數學系,1,1
國立員林高中,"逢甲大學應用數學系
靜宜大學財務金融學系
靜宜大學財務金融學系-類繁星
亞洲大學財務金融學系投資理財組",1,1
高雄市立高雄高中,"逢甲大學應用數學系
東海大學應用物理學系
逢甲大學纖維與複合材料學系
逢甲大學工業工程與系統管理學系
逢甲大學水利工程與資源保育學系",1,0
國立雲林科技大學,"逢甲大學應用數學系
中原大學應用數學系
東海大學統計學系(自然組)
輔仁大學數學系應用數學組",0,0
國立台中女中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
中國文化大學資訊工程學系
靜宜大學資訊工程學系",0,0
私立道明高中,"逢甲大學應用數學系
東吳大學數學系
國立屏東大學應用數學系
國立臺東大學應用數學系",0,0
私立明德高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
國立東華大學應用數學系數學科學組",0,0
高雄市立中山高中,"逢甲大學應用數學系
逢甲大學土木工程學系
國立高雄師範大學數學系數學組
國立臺南大學應用數學系
國立屏東大學應用數學系",1,0
國立中興高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用物理學系材料及奈米科技組
東海大學化學工程與材料工程學系
逢甲大學工業工程與系統管理學系",0,0
國立臺中文華高中,"逢甲大學應用數學系
東海大學統計學系(社會組)",0,0
臺中市立臺中一中,"逢甲大學應用數學系
東海大學資訊管理學系(物聯網與大數據應用組)",0,0
國立新竹女中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系",1,0
國立臺中二中,"逢甲大學應用數學系
東海大學應用數學系
東海大學資訊工程學系資電工程組
東海大學資訊工程學系軟體工程組
逢甲大學電子工程學系",0,0
私立光隆家商,"逢甲大學應用數學系
東海大學化學工程與材料工程學系
淡江大學數學學系數學組",0,0
國立員林高中,"逢甲大學應用數學系
中原大學應用數學系",1,1
國立中壢高商,"逢甲大學應用數學系
中原大學應用數學系
東海大學化學工程與材料工程學系",1,1
私立明德中學,"逢甲大學應用數學系
靜宜大學台灣文學系
靜宜大學資訊傳播工程學系(互動藝術組)
銘傳大學應用中國文學系(桃園校區)
銘傳大學應用日語學系(桃園校區)
修平科技大學人力資源管理與發展系
僑光科技大學多媒體與遊戲設計系
中臺科技大學老人照顧系
朝陽科技大學資訊管理系資訊管理組",0,0
國立員林高中,"逢甲大學應用數學系
靜宜大學資訊傳播工程學系
嘉南藥理科技大學環境資源管理系",1,1
國立陽明高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學數學系資訊數學組
國立勤益科技大學資訊工程系
華夏科技大學資訊工程系",0,0
私立長榮高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
國立台東大學資訊工程學系",1,0
國立斗六高中,"逢甲大學應用數學系
逢甲大學通訊工程學系
國立臺東大學教育學系
國立臺東大學幼兒教育學系
國立臺東大學特殊教育學系",0,0
高雄市立高雄女中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組",0,0
高雄市立左營高中,"逢甲大學應用數學系
逢甲大學材料科學與工程學系
逢甲大學電機工程學系
義守大學電機工程學系
國立聯合大學光電工程學系",1,0
逢甲大學,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學經濟學系",1,0
國立臺灣師大附中,"逢甲大學應用數學系
逢甲大學統計學系
銘傳大學會計學系(台北校區)
銘傳大學風險管理與保險學系(台北校區)
德明財經科技大學會計資訊系",0,0
臺中市立清水高中,"逢甲大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學環境工程與科學學系
國立聯合大學環境與安全衛生工程學系
國立聯合大學光電工程學系",1,0
私立復旦高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學數學系純數學組",0,0
新竹市立建功高中,"逢甲大學應用數學系
東吳大學化學系
中原大學應用數學系
東海大學化學工程與材料工程學系(生化工程組)
東海大學畜產與生物科技學系
中國文化大學化學系",0,0
私立明德中學,"逢甲大學應用數學系
中原大學應用數學系
中原大學土木工程學系
逢甲大學工業工程與系統管理學系
逢甲大學土木工程學系
逢甲大學土地管理學系",1,0
臺中市立文華高中,"逢甲大學應用數學系
中原大學物理學系物理組
中原大學工業與系統工程學系工程組
淡江大學航空太空工程學系",0,0
國立家齊高中,"逢甲大學應用數學系
逢甲大學統計學系商業大數據組
義守大學財務與計算數學系",1,0
靜宜大學,"逢甲大學應用數學系
逢甲大學中國文學系
靜宜大學化粧品科學系
亞洲大學護理學系高齡長期照護組
亞洲大學時尚設計學系時尚服裝設計組
弘光科技大學護理系
弘光科技大學餐旅管理系
長庚科技大學護理系(林口校區)",0,0
國立新竹女中,"逢甲大學應用數學系
中原大學應用數學系
中原大學工業與系統工程學系
逢甲大學統計學系",1,1
桃園市立陽明高中,"逢甲大學應用數學系
中原大學應用數學系
長庚大學資訊管理學系
國立臺南大學應用數學系
國立東華大學資訊工程學系資工組
國立高雄科技大學電機工程系(建工校區)",0,0
高雄市立高雄女中,"逢甲大學應用數學系
大同大學機械工程學系精密機械組",1,1
國立中興高中,"逢甲大學應用數學系
東吳大學數學系
淡江大學統計學系",0,0
國立嘉義女中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
銘傳大學財務金融學系財務金融組(臺北校區)
銘傳大學國際企業學系外貿金融組(臺北校區)
實踐大學資訊科技與管理學系(臺北校區)
朝陽科技大學資訊與通訊系
樹德科技大學資訊工程系
高苑科技大學資訊管理系
臺北城市科技大學資訊工程系",0,0
新北市立新店高中,"逢甲大學應用數學系
銘傳大學應用統計資訊學系(桃園校區)
世新大學資訊管理學系資訊管理組",1,1
國立嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學數學系應用數學組",1,1
國立陽明高中,"逢甲大學應用數學系
中原大學應用數學系",1,1
國立新營高中,"逢甲大學應用數學系
靜宜大學生態人文學系
靜宜大學資訊工程學系
義守大學資訊工程學系",1,1
國立苗栗高中,"逢甲大學應用數學系
東海大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立臺東大學應用數學系",0,0
國立豐原高中,"逢甲大學應用數學系
中原大學應用數學系
輔仁大學數學系純數學組
朝陽科技大學資訊管理系資訊管理組
嘉南藥理科技大學化粧品應用與管理系
弘光科技大學化妝品應用系
弘光科技大學老人福利與事業系",1,1
國立彰化師範大學,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
國立東華大學應用數學系數學科學組",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
國立臺東大學應用科學系化學及奈米科學組
義守大學電機工程學系",1,1
私立明德高中,"逢甲大學應用數學系
逢甲大學精密系統設計學士學位學程",1,0
國立臺南一中,"逢甲大學應用數學系
國立臺東大學華語文學系",1,1
國立臺東高中,"逢甲大學應用數學系
逢甲大學水利工程與資源保育學系
銘傳大學電子工程學系(桃園校區)
慈濟大學生命科學系",1,0
國立花蓮高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系
淡江大學數學學系數學組",0,0
臺中市立惠文高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系商業大數據組
國立臺灣體育運動大學體育學系(一般組)",1,1
國立虎尾高中,"逢甲大學應用數學系
靜宜大學資訊管理學系
靜宜大學資訊工程學系",1,1
新北市立新店高中,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
輔仁大學物理學系光電物理組
元智大學工業工程與管理學系",0,0
國立中興高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學財務與計算數學系財務工程組
靜宜大學統計資訊學系
亞洲大學財務金融學系投資理財組",0,0
國立臺灣師大附中,逢甲大學應用數學系,1,1
高雄市立左營高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
輔仁大學數學系應用數學組
國立屏東大學應用數學系
國立嘉義大學應用數學系",0,0
高雄市立中正高中,逢甲大學應用數學系,1,1
國立斗六高中,"逢甲大學應用數學系
東海大學統計學系(自然組)
東海大學統計學系(社會組)
靜宜大學財務與計算數學系計算數學組",1,1
新北市立新莊高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學統計學系
輔仁大學數學系應用數學組
國立嘉義大學應用數學系",0,0
國立屏東女中,"逢甲大學應用數學系
東海大學應用數學系
東海大學統計學系(大數據與資料科學組)
逢甲大學統計學系",0,0
靜宜大學,"逢甲大學應用數學系
東海大學應用數學系
國立嘉義大學應用數學系",0,0
國立臺中女中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學統計學系
靜宜大學財務金融學系-繁星類",1,1
臺中市立清水高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
中國文化大學應用數學系",0,0
國立陽明高中,"逢甲大學應用數學系
東海大學應用物理學系光電組
逢甲大學光電學系
逢甲大學自動控制工程學系
逢甲大學水利工程與資源保育學系
國立勤益科技大學冷凍空調與能源系
龍華科技大學機械工程系",0,0
國立臺南女中,"逢甲大學應用數學系
東海大學應用數學系
國立臺中教育大學數學教育學系
國立屏東教育大學應用數學系
國立臺東大學數學系
國立澎湖科技大學資訊工程系
朝陽科技大學資訊工程系
南臺科技大學管理與資訊系工業管理組",0,0
國立虎尾高中,"逢甲大學應用數學系
中原大學應用數學系
輔仁大學數學系純數學組",1,1
新北市立中山國中,"逢甲大學應用數學系
國立東華大學應用數學系統計組",0,0
逢甲大學,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
朝陽科技大學營建工程系",1,1
國立台中一中,"逢甲大學應用數學系
東海大學應用物理學系光電組
逢甲大學纖維與複合材料學系
朝陽科技大學工業工程與管理系",1,1
國立華僑高中,逢甲大學應用數學系,1,1
新北市立新北高工,"逢甲大學應用數學系
靜宜大學財務與計算數學系計算數學組
世新大學資訊管理學系資訊管理組",1,1
國立嘉義高中,"逢甲大學應用數學系
東吳大學數學系
東海大學應用數學系
東海大學統計學系(大數據與決策管理組)
逢甲大學材料科學與工程學系",0,0
國立臺東女中,"逢甲大學應用數學系
中原大學電子工程學系
逢甲大學光電科學與工程學系
逢甲大學電子工程學系
元智大學電機工程學系(乙組)",1,0
私立弘文高中,"逢甲大學應用數學系
東海大學環境科學與工程學系
世新大學財務金融學系
國立嘉義大學體育與健康休閒學系
南臺科技大學電機工程系控制與晶片組",0,0
國立屏東大學民生校區,"逢甲大學應用數學系
東海大學統計學系(社會組)
東海大學經濟學系一般經濟組
逢甲大學工業工程與系統管理學系
逢甲大學統計學系",1,0
國立桃園高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學化學工程學系
中原大學電子工程學系
逢甲大學化學工程學系",0,0
私立復旦高中,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學電機工程學系
中華大學電機工程學系",0,0
國立中興大學附屬高中,"逢甲大學應用數學系
靜宜大學資訊管理學系
靜宜大學資訊傳播工程學系
亞洲大學健康產業管理學系醫療機構管理組
亞洲大學生物科技學系產業管理組",0,0
臺北市立中崙高中,"逢甲大學應用數學系
中原大學應用數學系",0,0
靜宜大學,"逢甲大學應用數學系
逢甲大學財務金融學系
國立聯合大學能源工程學系",1,1
國立新竹女中,"逢甲大學應用數學系
中原大學應用數學系
國立聯合大學電機工程學系
國立聯合大學電子工程學系
國立聯合大學資訊工程學系
國立高雄第一科技大學電子工程系
國立高雄應用科技大學機械工程系",1,1
國立成功大學,"逢甲大學應用數學系
東吳大學數學系
淡江大學數學學系數學組
國立台中教育大學數學教育學系
國立屏東教育大學應用數學系
義守大學應用數學系財務分析組",0,0
國立苗栗高中,"逢甲大學應用數學系
逢甲大學資訊電機學院不分系榮譽班
靜宜大學資訊工程學系
國立臺東大學數學系",0,0
國立屏東女中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
逢甲大學工業工程與系統管理學系
逢甲大學統計學系
義守大學通訊工程學系",1,0
臺中市立臺中二中,"逢甲大學應用數學系
東海大學資訊管理學系(數位行銷與電子商務應用組)
國立屏東大學電腦與通訊學系",1,1
臺中市立惠文高中,"逢甲大學應用數學系
淡江大學土木工程學系工程設施組
逢甲大學土木工程學系
逢甲大學都市計畫與空間資訊學系空間資訊組
國立聯合大學能源工程學系",1,0
國立新竹高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學工業工程與系統管理學系
銘傳大學資訊工程學系(桃園校區)
國立聯合大學電子工程學系",0,0
國立桃園高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
淡江大學數學學系資料科學與數理統計組
靜宜大學財務與計算數學系計算數學組
輔仁大學數學系應用數學組",0,0
國立臺中二中,"逢甲大學應用數學系
逢甲大學機械與電腦輔助工程學系
逢甲大學統計學系
國立勤益科技大學資訊工程系
國立勤益科技大學工業工程與管理系",1,0
臺中市立惠文高中,"逢甲大學應用數學系
淡江大學數學學系數學組
靜宜大學財務與計算數學系計算數學組
靜宜大學資訊工程學系",1,1
國立員林崇實高工,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系",0,0
高雄市立左營高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學會計學系
中國文化大學應用數學系
國立高雄大學運動健康與休閒學系",1,1
國立武陵高中,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學光電學系
國立聯合大學光電工程學系",1,0
逢甲大學,"逢甲大學應用數學系
東海大學統計學系(社會組)
東海大學經濟學系產業經濟組
中國醫藥大學職業安全與衛生學系
逢甲大學國際貿易學系
逢甲大學財務金融學系",0,0
臺北市立中正高中,"逢甲大學應用數學系
中原大學工業與系統工程學系工程組
淡江大學統計學系
淡江大學水資源及環境工程學系水資源工程組
逢甲大學運輸與物流學系
中國文化大學電機工程學系",0,0
國立彰化師大附屬高工,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學資訊工程學系
逢甲大學電子工程學系",1,0
國立中興高中,"逢甲大學應用數學系
東吳大學數學系
輔仁大學數學系應用數學組
銘傳大學會計學系(台北校區)
實踐大學財務金融學系(臺北校區)
國立聯合大學環境與安全衛生工程學系
國立高雄海洋科技大學漁業生產與管理系
國立勤益科技大學冷凍空調與能源系能源應用組
朝陽科技大學資訊管理系數位多媒體組",0,0
國立臺中二中,"逢甲大學應用數學系
東海大學環境科學與工程學系
靜宜大學統計資訊學系
國立高雄海洋科技大學漁業生產與管理系
僑光科技大學行銷與流通管理系",0,0
國立員林崇實高工,"逢甲大學應用數學系
國立屏東教育大學科普傳播學系
國立臺東大學數位媒體與文教產業學系
國立臺東大學數學系
國立臺東大學資訊工程學系
朝陽科技大學資訊管理系數位多媒體組",1,1
臺中市立臺中二中,"逢甲大學應用數學系
東海大學資訊工程學系資電工程組
逢甲大學資訊工程學系
國立金門大學資訊工程學系",0,0
高雄市立中正高中,逢甲大學應用數學系,1,1
國立苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
靜宜大學應用化學系",0,0
臺中市立惠文高中,"逢甲大學應用數學系
靜宜大學資訊工程學系
銘傳大學資訊工程學系(桃園校區)",1,1
國立臺中二中,"逢甲大學應用數學系
東吳大學物理學系
中原大學物理學系物理組
逢甲大學機械與電腦輔助工程學系
逢甲大學航太與系統工程學系
國立澎湖科技大學行銷與物流管理系
國立澎湖科技大學航運管理系
國立勤益科技大學工業工程與管理系
中華科技大學航空機械系(新竹校區)",1,1
新北市立錦和高中,"逢甲大學應用數學系
東海大學資訊工程學系數位創意組
大同大學資訊工程學系
大同大學資訊經營學系
世新大學資訊管理學系資訊科技組",0,0
國立台中一中,"逢甲大學應用數學系
朝陽科技大學工業工程與管理系",1,1
國立苗栗高中,"逢甲大學應用數學系
東海大學應用數學系
逢甲大學統計學系
國立台東大學數學系",1,1
逢甲大學,"逢甲大學應用數學系
東海大學統計學系(自然組)
逢甲大學纖維與複合材料學系
逢甲大學電子工程學系
逢甲大學通訊工程學系
靜宜大學資訊工程學系",1,0
新北市立永平高中,"逢甲大學應用數學系
中原大學應用數學系
輔仁大學數學系應用數學組",1,1
國立屏東教育大學,"逢甲大學應用數學系
東海大學應用物理學系材料及奈米科技組
逢甲大學工業工程與系統管理學系
逢甲大學資訊電機學院不分系榮譽班",1,0
國立新竹高中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
靜宜大學資訊工程學系
靜宜大學資訊傳播工程學系",0,0
私立道明高中,"逢甲大學應用數學系
東吳大學資訊管理學系
東海大學資訊管理學系(數位行銷與電子商務應用組)
逢甲大學會計學系
輔仁大學經濟學系",1,0
國立嘉義高中,"逢甲大學應用數學系
中原大學化學工程學系生化工程組
中原大學化學工程學系材料工程組
東海大學化學工程與材料工程學系
淡江大學化學工程與材料工程學系
逢甲大學化學工程學系",1,0
國立苗栗高中,"逢甲大學應用數學系
中原大學應用數學系
東海大學應用數學系",1,1
國立新竹高中,"逢甲大學應用數學系
中原大學應用數學系
中原大學生物醫學工程學系
東海大學應用數學系
靜宜大學食品營養學系食品與生物技術組",0,0
國立臺南二中,"逢甲大學應用數學系
東吳大學財務工程與精算數學系
逢甲大學財務工程與精算學士學位學程",0,0
國立臺中女中,"逢甲大學應用數學系
東海大學工業工程與經營資訊學系
東海大學環境科學與工程學系
東海大學統計學系(自然組)
國立屏東大學電腦與通訊學系",1,1
臺中市立文華高中,"逢甲大學應用數學系
逢甲大學資訊電機學院學士班",1,0
國立嘉義高中,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組
淡江大學數學學系資料科學與數理統計組
國立屏東大學應用數學系
國立高雄科技大學航運技術系(旗津校區)
元培醫事科技大學護理系
中華醫事科技大學護理系
長庚科技大學護理系(嘉義校區)
台北海洋科技大學航海系(士林校區)",0,0
臺北市立成功高中,"逢甲大學應用數學系
中國文化大學應用數學系
中國文化大學大氣科學系
中國文化大學市政暨環境規劃學系
銘傳大學都市規劃與防災學系(桃園校區)
長榮大學醫務管理學系",1,1
新北市立新北高工,"逢甲大學應用數學系
中原大學應用數學系
逢甲大學材料科學與工程學系",0,0
國立中興高中,"逢甲大學應用數學系
東吳大學數學系
中原大學應用數學系
國立東華大學應用數學系統計科學組
國立高雄海洋科技大學漁業生產與管理系
國立勤益科技大學資訊工程系",0,0
國立澎湖科技大學,"逢甲大學應用數學系
國立臺灣大學機械工程學系
逢甲大學土木工程學系
元智大學機械工程學系
國立嘉義大學土木與水資源工程學系",0,0
國立新竹高中,"逢甲大學應用數學系
東海大學應用物理學系
靜宜大學財務與計算數學系計算數學組
南臺科技大學生物科技系
長庚科技大學護理系(林口校區)",0,0
國立臺灣師大附中,"逢甲大學應用數學系
淡江大學資訊創新與科技學系軟體工程全英語組(蘭陽校園)
國立東華大學資訊工程學系學士班國際組
銘傳大學資訊工程學系(桃園校區)
國立勤益科技大學資訊工程系
國立雲林科技大學工業工程與管理系",0,0
國立臺南一中,"逢甲大學應用數學系
逢甲大學工業工程與系統管理學系
逢甲大學統計學系
逢甲大學環境工程與科學學系
元智大學工業工程與管理學系",1,0
國立臺南女中,"逢甲大學應用數學系
逢甲大學纖維與複合材料學系
逢甲大學統計學系
大葉大學資訊工程學系
南臺科技大學工業管理與資訊系工業管理組
崑山科技大學機械工程系
長庚科技大學護理系(嘉義校區)",1,0
國立宜蘭大學,"逢甲大學應用數學系
中原大學應用數學系
淡江大學數學學系數學組",0,0
臺北市立百齡高中,"逢甲大學應用數學系
淡江大學數學學系數學組
靜宜大學統計資訊學系",0,0
國立雲林科技大學,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學應用數學系
輔仁大學數學系純數學組",1,1
新北市立錦和高中,"逢甲大學應用數學系
中原大學應用數學系
中國文化大學應用數學系
輔仁大學數學系資訊數學組
國立東華大學應用數學系數學科學組",0,0
國立桃園農工,"逢甲大學應用數學系
淡江大學數學學系資料科學與數理統計組
國立臺中教育大學數學教育學系
國立東華大學應用數學系數學科學組
國立勤益科技大學資訊工程系
國立勤益科技大學化工與材料工程系
國立高雄第一科技大學電子工程系",0,0
新北市立永平高中,逢甲大學應用數學系,1,1
國立臺南女中,"逢甲大學應用數學系
義守大學電機工程學系",1,1
私立四維高中,"逢甲大學應用數學系
銘傳大學應用統計資訊學系(桃園校區)
世新大學經濟學系
景文科技大學理財與稅務規劃系
德明財經科技大學財務金融系",1,1
國立臺灣海洋大學,逢甲大學應用數學系,1,1
私立弘文高中,"逢甲大學光電學系
靜宜大學財務與計算數學系財務工程組
靜宜大學應用化學系
靜宜大學資訊工程學系
國立勤益科技大學資訊工程系
朝陽科技大學資訊工程系
建國科技大學土木工程系",1,1
國立中興大學附屬高中,"逢甲大學應用數學系
淡江大學管理科學學系
靜宜大學企業管理學系
世新大學行政管理學系",1,1
國立彰化師範大學,"逢甲大學應用數學系
東海大學統計學系(大數據與決策管理組)
健行科技大學企業管理系",1,1
